date,type,amount
2020-08-31,その他ﾌﾟﾗ・色,24.62
2020-08-31,繊維類,3.88
2020-08-31,容器以外のプラ,3.28
2020-09-30,廃食用油,0.914
2020-09-30,燃やすごみ,1070.39
2020-09-30,その他ﾌﾟﾗ・色,25.56
2020-09-30,紙製パック,0.63
2020-09-30,スプレー缶類,1.95
2020-09-30,蛍光灯,0.52
2020-09-30,繊維類,2.48
2020-09-30,燃えない ごみ,44.53
2020-09-30,空き缶,13.42
2020-09-30,乾電池,1.54
2020-09-30,容器以外のプラ,4.31
2020-09-30,ペットボトル,14.56
2020-09-30,新聞紙類,16.16
2020-09-30,白トレイ,0.787
2020-09-30,空きびん,27.84
2020-09-30,雑誌類,33.43
2020-09-30,段ボール類,24.54
2020-10-31,容器以外のプラ,4.68
2020-10-31,段ボール類,27.04
2020-10-31,蛍光灯,0.75
2020-10-31,その他ﾌﾟﾗ・色,24.97
2020-10-31,白トレイ,0.8164
2020-10-31,空きびん,26.51
2020-10-31,燃えない ごみ,48.25
2020-10-31,繊維類,5.71
2020-10-31,ペットボトル,10.99
2020-10-31,廃食用油,0.833
2020-10-31,燃やすごみ,1112.89
2020-10-31,空き缶,12.1
2020-10-31,乾電池,1.77
2020-10-31,新聞紙類,16.95
2020-10-31,雑誌類,35.32
2020-10-31,スプレー缶類,1.97
2020-10-31,紙製パック,0.22
2020-11-30,新聞紙類,14.48
2020-11-30,その他ﾌﾟﾗ・色,21.69
2020-11-30,蛍光灯,0.74
2020-11-30,容器以外のプラ,3.78
2020-11-30,繊維類,4.32
2020-11-30,燃えない ごみ,41.53
2020-11-30,空きびん,23.01
2020-11-30,空き缶,10.31
2020-11-30,燃やすごみ,1065.43
2020-11-30,紙製パック,0.2
2020-11-30,雑誌類,31.83
2020-11-30,廃食用油,0.828
2020-11-30,白トレイ,0.7057
2020-11-30,段ボール類,22.5
2020-11-30,スプレー缶類,1.68
2020-11-30,乾電池,1.79
2020-11-30,ペットボトル,8.28
2020-12-31,蛍光灯,0.86
2020-12-31,新聞紙類,13.37
2020-12-31,乾電池,1.86
2020-12-31,空き缶,11.94
2020-12-31,空きびん,24.32
2020-12-31,廃食用油,1.058
2020-12-31,白トレイ,0.8788
2020-12-31,雑誌類,28.62
2020-12-31,燃やすごみ,1007.03
2020-12-31,紙製パック,0.14
